Ensembl ID	HPO	hgncSymbol
ENSG00000138413.13	Abdomen-abnormality	IDH1
ENSG00000021826.14	Abdomen-abnormality	CPS1
ENSG00000138375.12	Abdomen-abnormality	SMARCAL1
ENSG00000127838.13	Abdomen-abnormality	PNKD
ENSG00000074582.12	Abdomen-abnormality	BCS1L
ENSG00000135929.8	Abdomen-abnormality	CYP27A1
ENSG00000175084.11	Abdomen-abnormality	DES
ENSG00000144591.18	Abdomen-abnormality	GMPPA
ENSG00000135903.18	Abdomen-abnormality	PAX3
ENSG00000152056.16	Abdomen-abnormality	AP1S3
ENSG00000135900.3	Abdomen-abnormality	MRPL44
ENSG00000135917.13	Abdomen-abnormality	SLC19A3
ENSG00000135899.17	Abdomen-abnormality	SP110
ENSG00000144535.19	Abdomen-abnormality	DIS3L2
ENSG00000135902.9	Abdomen-abnormality	CHRND
ENSG00000196811.11	Abdomen-abnormality	CHRNG
ENSG00000241635.7	Abdomen-abnormality	UGT1A1
ENSG00000132326.11	Abdomen-abnormality	PER2
ENSG00000233608.3	Abdomen-abnormality	TWIST2
ENSG00000068024.16	Abdomen-abnormality	HDAC4
ENSG00000063660.8	Abdomen-abnormality	GPC1
ENSG00000130294.15	Abdomen-abnormality	KIF1A
ENSG00000134121.9	Abdomen-abnormality	CHL1
ENSG00000144455.13	Abdomen-abnormality	SUMF1
ENSG00000187288.10	Abdomen-abnormality	CIDEC
ENSG00000163702.18	Abdomen-abnormality	IL17RC
ENSG00000134086.7	Abdomen-abnormality	VHL
ENSG00000154764.5	Abdomen-abnormality	WNT7A
ENSG00000206561.12	Abdomen-abnormality	COLQ
ENSG00000169814.12	Abdomen-abnormality	BTD
ENSG00000077092.18	Abdomen-abnormality	RARB
ENSG00000151092.16	Abdomen-abnormality	NGLY1
ENSG00000163527.9	Abdomen-abnormality	STT3B
ENSG00000170266.15	Abdomen-abnormality	GLB1
ENSG00000172936.12	Abdomen-abnormality	MYD88
ENSG00000114739.13	Abdomen-abnormality	ACVR2B
ENSG00000185313.6	Abdomen-abnormality	SCN10A
ENSG00000168356.11	Abdomen-abnormality	SCN11A
ENSG00000114745.13	Abdomen-abnormality	GORASP1
ENSG00000168028.13	Abdomen-abnormality	RPSA
ENSG00000157119.11	Abdomen-abnormality	KLHL40
ENSG00000011198.7	Abdomen-abnormality	ABHD5
ENSG00000160796.16	Abdomen-abnormality	NBEAL2
ENSG00000213689.11	Abdomen-abnormality	TREX1
ENSG00000114270.17	Abdomen-abnormality	COL7A1
ENSG00000178537.9	Abdomen-abnormality	SLC25A20
ENSG00000145020.15	Abdomen-abnormality	AMT
ENSG00000173531.15	Abdomen-abnormality	MST1
ENSG00000163933.9	Abdomen-abnormality	RFT1
ENSG00000114251.14	Abdomen-abnormality	WNT5A
ENSG00000163666.8	Abdomen-abnormality	HESX1
ENSG00000136068.14	Abdomen-abnormality	FLNB
ENSG00000163687.13	Abdomen-abnormality	DNASE1L3
ENSG00000163635.17	Abdomen-abnormality	ATXN7
ENSG00000114480.12	Abdomen-abnormality	GBE1
ENSG00000080819.6	Abdomen-abnormality	CPOX
ENSG00000153283.12	Abdomen-abnormality	CD96
ENSG00000036828.15	Abdomen-abnormality	CASR
ENSG00000114491.13	Abdomen-abnormality	UMPS
ENSG00000179348.11	Abdomen-abnormality	GATA2
ENSG00000177646.18	Abdomen-abnormality	ACAD9
ENSG00000004399.12	Abdomen-abnormality	PLXND1
ENSG00000170893.3	Abdomen-abnormality	TRH
ENSG00000114686.8	Abdomen-abnormality	MRPL3
ENSG00000113971.19	Abdomen-abnormality	NPHP3
ENSG00000091513.14	Abdomen-abnormality	TF
ENSG00000175110.11	Abdomen-abnormality	MRPS22
ENSG00000152952.11	Abdomen-abnormality	PLOD2
ENSG00000168827.14	Abdomen-abnormality	GFM1
ENSG00000090402.7	Abdomen-abnormality	SI
ENSG00000114209.14	Abdomen-abnormality	PDCD10
ENSG00000163581.13	Abdomen-abnormality	SLC2A2
ENSG00000121879.3	Abdomen-abnormality	PIK3CA
ENSG00000205981.6	Abdomen-abnormality	DNAJC19
ENSG00000181449.3	Abdomen-abnormality	SOX2
ENSG00000214160.9	Abdomen-abnormality	ALG3
ENSG00000113790.10	Abdomen-abnormality	EHHADH
ENSG00000127241.16	Abdomen-abnormality	MASP1
ENSG00000073282.12	Abdomen-abnormality	TP63
ENSG00000163347.5	Abdomen-abnormality	CLDN1
ENSG00000113946.3	Abdomen-abnormality	CLDN16
ENSG00000174007.7	Abdomen-abnormality	CEP19
ENSG00000127415.12	Abdomen-abnormality	IDUA
ENSG00000068078.17	Abdomen-abnormality	FGFR3
ENSG00000168924.14	Abdomen-abnormality	LETM1
ENSG00000087266.15	Abdomen-abnormality	SH3BP2
ENSG00000173040.12	Abdomen-abnormality	EVC2
ENSG00000048342.15	Abdomen-abnormality	CC2D2A
ENSG00000151552.11	Abdomen-abnormality	QDPR
ENSG00000157796.17	Abdomen-abnormality	WDR19
ENSG00000121897.14	Abdomen-abnormality	LIAS
ENSG00000109132.6	Abdomen-abnormality	PHOX2B
ENSG00000134853.11	Abdomen-abnormality	PDGFRA
ENSG00000157404.15	Abdomen-abnormality	KIT
ENSG00000128039.10	Abdomen-abnormality	SRD5A3
ENSG00000134851.12	Abdomen-abnormality	TMEM165
ENSG00000138760.9	Abdomen-abnormality	SCARB2
ENSG00000138759.18	Abdomen-abnormality	FRAS1
ENSG00000163297.16	Abdomen-abnormality	ANTXR2
ENSG00000173085.13	Abdomen-abnormality	COQ2
ENSG00000138640.14	Abdomen-abnormality	FAM13A
ENSG00000138823.13	Abdomen-abnormality	MTTP
ENSG00000109323.8	Abdomen-abnormality	MANBA
ENSG00000145354.9	Abdomen-abnormality	CISD2
ENSG00000164022.16	Abdomen-abnormality	AIMP1
ENSG00000138796.16	Abdomen-abnormality	HADH
ENSG00000145375.7	Abdomen-abnormality	SPATA5
ENSG00000196159.11	Abdomen-abnormality	FAT4
ENSG00000151611.13	Abdomen-abnormality	MMAA
ENSG00000151623.14	Abdomen-abnormality	NR3C2
ENSG00000171560.14	Abdomen-abnormality	FGA
ENSG00000164116.16	Abdomen-abnormality	GUCY1A3
ENSG00000164120.13	Abdomen-abnormality	HPGD
ENSG00000150630.3	Abdomen-abnormality	VEGFC
ENSG00000038002.8	Abdomen-abnormality	AGA
ENSG00000109536.11	Abdomen-abnormality	FRG1
ENSG00000073578.16	Abdomen-abnormality	SDHA
ENSG00000174358.15	Abdomen-abnormality	SLC6A19
ENSG00000142319.17	Abdomen-abnormality	SLC6A3
ENSG00000037474.14	Abdomen-abnormality	NSUN2
ENSG00000112902.11	Abdomen-abnormality	SEMA5A
ENSG00000242110.7	Abdomen-abnormality	AMACR
ENSG00000113594.9	Abdomen-abnormality	LIFR
ENSG00000083720.12	Abdomen-abnormality	OXCT1
ENSG00000164172.18	Abdomen-abnormality	MOCS2
ENSG00000145675.14	Abdomen-abnormality	PIK3R1
ENSG00000197822.10	Abdomen-abnormality	OCLN
ENSG00000131844.15	Abdomen-abnormality	MCCC2
ENSG00000049860.13	Abdomen-abnormality	HEXB
ENSG00000164252.12	Abdomen-abnormality	AGGF1
ENSG00000132842.13	Abdomen-abnormality	AP3B1
ENSG00000113273.15	Abdomen-abnormality	ARSB
ENSG00000228716.6	Abdomen-abnormality	DHFR
ENSG00000175426.10	Abdomen-abnormality	PCSK1
ENSG00000134982.16	Abdomen-abnormality	APC
ENSG00000171444.17	Abdomen-abnormality	MCC
ENSG00000164904.17	Abdomen-abnormality	ALDH7A1
ENSG00000113368.11	Abdomen-abnormality	LMNB1
ENSG00000145794.16	Abdomen-abnormality	MEGF10
ENSG00000138829.11	Abdomen-abnormality	FBN2
ENSG00000197375.12	Abdomen-abnormality	SLC22A5
ENSG00000164405.10	Abdomen-abnormality	UQCRQ
ENSG00000072364.12	Abdomen-abnormality	AFF4
ENSG00000152700.13	Abdomen-abnormality	SAR1B
ENSG00000120729.9	Abdomen-abnormality	MYOT
ENSG00000185129.5	Abdomen-abnormality	PURA
ENSG00000133706.17	Abdomen-abnormality	LARS
ENSG00000164266.10	Abdomen-abnormality	SPINK1
ENSG00000133710.15	Abdomen-abnormality	SPINK5
ENSG00000155850.7	Abdomen-abnormality	SLC26A2
ENSG00000070814.17	Abdomen-abnormality	TCOF1
ENSG00000237693.4	Abdomen-abnormality	IRGM
ENSG00000113263.12	Abdomen-abnormality	ITK
ENSG00000174705.12	Abdomen-abnormality	SH3PXD2B
ENSG00000165671.19	Abdomen-abnormality	NSD1
ENSG00000131187.9	Abdomen-abnormality	F12
ENSG00000027847.13	Abdomen-abnormality	B4GALT7
ENSG00000087116.14	Abdomen-abnormality	ADAMTS2
ENSG00000054598.6	Abdomen-abnormality	FOXC1
ENSG00000214113.10	Abdomen-abnormality	LYRM4
ENSG00000145982.11	Abdomen-abnormality	FARS2
ENSG00000137203.10	Abdomen-abnormality	TFAP2A
ENSG00000078401.6	Abdomen-abnormality	EDN1
ENSG00000124788.17	Abdomen-abnormality	ATXN1
ENSG00000187566.5	Abdomen-abnormality	NHLRC1
ENSG00000146038.11	Abdomen-abnormality	DCDC2
ENSG00000010704.18	Abdomen-abnormality	HFE
ENSG00000232810.3	Abdomen-abnormality	TNF
ENSG00000204386.10	Abdomen-abnormality	NEU1
ENSG00000243649.8	Abdomen-abnormality	CFB
ENSG00000204351.11	Abdomen-abnormality	SKIV2L
ENSG00000244731.7	Abdomen-abnormality	C4A
ENSG00000168477.17	Abdomen-abnormality	TNXB
ENSG00000196126.11	Abdomen-abnormality	HLA-DRB1
ENSG00000204264.8	Abdomen-abnormality	PSMB8
ENSG00000124762.13	Abdomen-abnormality	CDKN1A
ENSG00000124615.17	Abdomen-abnormality	MOCS1
ENSG00000095970.16	Abdomen-abnormality	TREM2
ENSG00000124713.5	Abdomen-abnormality	GNMT
ENSG00000112640.14	Abdomen-abnormality	PPP2R5D
ENSG00000146085.7	Abdomen-abnormality	MUT
ENSG00000112077.15	Abdomen-abnormality	RHAG
ENSG00000170927.14	Abdomen-abnormality	PKHD1
ENSG00000151914.19	Abdomen-abnormality	DST
ENSG00000168216.10	Abdomen-abnormality	LMBRD1
ENSG00000135297.15	Abdomen-abnormality	MTO1
ENSG00000119899.12	Abdomen-abnormality	SLC17A5
ENSG00000111799.20	Abdomen-abnormality	COL12A1
ENSG00000118402.5	Abdomen-abnormality	ELOVL4
ENSG00000112837.16	Abdomen-abnormality	TBX18
ENSG00000146282.17	Abdomen-abnormality	RARS2
ENSG00000112234.8	Abdomen-abnormality	FBXL4
ENSG00000164494.11	Abdomen-abnormality	PDSS2
ENSG00000112365.4	Abdomen-abnormality	ZBTB24
ENSG00000112367.10	Abdomen-abnormality	FIG4
ENSG00000111817.16	Abdomen-abnormality	DSE
ENSG00000189241.6	Abdomen-abnormality	TSPYL1
ENSG00000185002.9	Abdomen-abnormality	RFX6
ENSG00000152661.7	Abdomen-abnormality	GJA1
ENSG00000196569.11	Abdomen-abnormality	LAMA2
ENSG00000118520.14	Abdomen-abnormality	ARG1
ENSG00000118523.5	Abdomen-abnormality	CTGF
ENSG00000027697.13	Abdomen-abnormality	IFNGR1
ENSG00000112414.14	Abdomen-abnormality	ADGRG6
ENSG00000135604.9	Abdomen-abnormality	STX11
ENSG00000155906.16	Abdomen-abnormality	RMND1
ENSG00000122335.13	Abdomen-abnormality	SERAC1
ENSG00000122194.18	Abdomen-abnormality	PLG
ENSG00000060762.18	Abdomen-abnormality	MPC1
ENSG00000112592.13	Abdomen-abnormality	TBP
ENSG00000198286.9	Abdomen-abnormality	CARD11
ENSG00000075624.13	Abdomen-abnormality	ACTB
ENSG00000122512.14	Abdomen-abnormality	PMS2
ENSG00000136244.11	Abdomen-abnormality	IL6
ENSG00000106080.10	Abdomen-abnormality	FKBP14
ENSG00000164619.8	Abdomen-abnormality	BMPER
ENSG00000106536.19	Abdomen-abnormality	POU6F2
ENSG00000175600.15	Abdomen-abnormality	SUGCT
ENSG00000106571.12	Abdomen-abnormality	GLI3
ENSG00000106605.10	Abdomen-abnormality	BLVRA
ENSG00000185811.16	Abdomen-abnormality	IKZF1
ENSG00000132437.17	Abdomen-abnormality	DDC
ENSG00000146648.17	Abdomen-abnormality	EGFR
ENSG00000169919.16	Abdomen-abnormality	GUSB
ENSG00000126522.16	Abdomen-abnormality	ASL
ENSG00000126524.9	Abdomen-abnormality	SBDS
ENSG00000158321.15	Abdomen-abnormality	AUTS2
ENSG00000106638.15	Abdomen-abnormality	TBL2
ENSG00000127948.15	Abdomen-abnormality	POR
ENSG00000075223.13	Abdomen-abnormality	SEMA3C
ENSG00000005471.15	Abdomen-abnormality	ABCB4
ENSG00000085563.14	Abdomen-abnormality	ABCB1
ENSG00000164692.17	Abdomen-abnormality	COL1A2
ENSG00000004864.13	Abdomen-abnormality	SLC25A13
ENSG00000070669.16	Abdomen-abnormality	ASNS
ENSG00000106327.12	Abdomen-abnormality	TFR2
ENSG00000106367.13	Abdomen-abnormality	AP1S1
ENSG00000106397.11	Abdomen-abnormality	PLOD3
ENSG00000091137.11	Abdomen-abnormality	SLC26A4
ENSG00000091138.12	Abdomen-abnormality	SLC26A3
ENSG00000091140.13	Abdomen-abnormality	DLD
ENSG00000135241.16	Abdomen-abnormality	PNPLA8
ENSG00000154415.7	Abdomen-abnormality	PPP1R3A
ENSG00000105974.11	Abdomen-abnormality	CAV1
ENSG00000106477.18	Abdomen-abnormality	CEP41
ENSG00000172331.11	Abdomen-abnormality	BPGM
ENSG00000122787.14	Abdomen-abnormality	AKR1D1
ENSG00000105929.15	Abdomen-abnormality	ATP6V0A4
ENSG00000059377.16	Abdomen-abnormality	TBXAS1
ENSG00000157764.12	Abdomen-abnormality	BRAF
ENSG00000204983.13	Abdomen-abnormality	PRSS1
ENSG00000188037.10	Abdomen-abnormality	CLCN1
ENSG00000106462.10	Abdomen-abnormality	EZH2
ENSG00000106617.13	Abdomen-abnormality	PRKAG2
ENSG00000130675.14	Abdomen-abnormality	MNX1
ENSG00000105993.14	Abdomen-abnormality	DNAJB6
ENSG00000136574.17	Abdomen-abnormality	GATA4
ENSG00000104763.18	Abdomen-abnormality	ASAH1
ENSG00000171320.14	Abdomen-abnormality	ESCO2
ENSG00000165392.9	Abdomen-abnormality	WRN
ENSG00000147475.14	Abdomen-abnormality	ERLIN2
ENSG00000085788.13	Abdomen-abnormality	DDHD2
ENSG00000077782.19	Abdomen-abnormality	FGFR1
ENSG00000029534.19	Abdomen-abnormality	ANK1
ENSG00000083168.9	Abdomen-abnormality	KAT6A
ENSG00000104365.13	Abdomen-abnormality	IKBKB
ENSG00000165102.14	Abdomen-abnormality	HGSNAT
ENSG00000104738.16	Abdomen-abnormality	MCM4
ENSG00000104331.8	Abdomen-abnormality	IMPAD1
ENSG00000171316.11	Abdomen-abnormality	CHD7
ENSG00000172817.3	Abdomen-abnormality	CYP7B1
ENSG00000147571.4	Abdomen-abnormality	CRH
ENSG00000104313.17	Abdomen-abnormality	EYA1
ENSG00000175606.10	Abdomen-abnormality	TMEM70
ENSG00000104267.9	Abdomen-abnormality	CA2
ENSG00000104320.13	Abdomen-abnormality	NBN
ENSG00000164953.15	Abdomen-abnormality	TMEM67
ENSG00000164951.15	Abdomen-abnormality	PDP1
ENSG00000156471.12	Abdomen-abnormality	PTDSS1
ENSG00000132549.18	Abdomen-abnormality	VPS13B
ENSG00000083307.10	Abdomen-abnormality	GRHL2
ENSG00000147647.12	Abdomen-abnormality	DPYS
ENSG00000174417.2	Abdomen-abnormality	TRHR
ENSG00000169427.6	Abdomen-abnormality	KCNK9
ENSG00000179142.2	Abdomen-abnormality	CYP11B2
ENSG00000179950.13	Abdomen-abnormality	PUF60
ENSG00000178209.14	Abdomen-abnormality	PLEC
ENSG00000178814.16	Abdomen-abnormality	OPLAH
ENSG00000179091.4	Abdomen-abnormality	CYC1
ENSG00000185000.11	Abdomen-abnormality	DGAT1
ENSG00000185803.8	Abdomen-abnormality	SLC52A2
ENSG00000147804.9	Abdomen-abnormality	SLC39A4
ENSG00000160957.12	Abdomen-abnormality	RECQL4
ENSG00000107249.21	Abdomen-abnormality	GLIS3
ENSG00000096968.13	Abdomen-abnormality	JAK2
ENSG00000164946.19	Abdomen-abnormality	FREM1
ENSG00000147889.17	Abdomen-abnormality	CDKN2A
ENSG00000120156.20	Abdomen-abnormality	TEK
ENSG00000213930.11	Abdomen-abnormality	GALT
ENSG00000165280.15	Abdomen-abnormality	VCP
ENSG00000165282.13	Abdomen-abnormality	PIGO
ENSG00000269900.3	Abdomen-abnormality	RMRP
ENSG00000198467.13	Abdomen-abnormality	TPM2
ENSG00000159921.14	Abdomen-abnormality	GNE
ENSG00000119139.17	Abdomen-abnormality	TJP2
ENSG00000197969.11	Abdomen-abnormality	VPS13A
ENSG00000156052.10	Abdomen-abnormality	GNAQ
ENSG00000135069.13	Abdomen-abnormality	PSAT1
ENSG00000148090.11	Abdomen-abnormality	AUH
ENSG00000169071.14	Abdomen-abnormality	ROR2
ENSG00000165140.9	Abdomen-abnormality	FBP1
ENSG00000158169.12	Abdomen-abnormality	FANCC
ENSG00000185920.15	Abdomen-abnormality	PTCH1
ENSG00000165138.17	Abdomen-abnormality	ANKS6
ENSG00000119523.9	Abdomen-abnormality	ALG2
ENSG00000136872.17	Abdomen-abnormality	ALDOB
ENSG00000165029.15	Abdomen-abnormality	ABCA1
ENSG00000070061.14	Abdomen-abnormality	IKBKAP
ENSG00000070159.13	Abdomen-abnormality	PTPN3
ENSG00000030304.13	Abdomen-abnormality	MUSK
ENSG00000148218.15	Abdomen-abnormality	ALAD
ENSG00000106804.7	Abdomen-abnormality	C5
ENSG00000148180.19	Abdomen-abnormality	GSN
ENSG00000136908.17	Abdomen-abnormality	DPM2
ENSG00000167113.10	Abdomen-abnormality	COQ4
ENSG00000119333.11	Abdomen-abnormality	WDR34
ENSG00000175283.7	Abdomen-abnormality	DOLK
ENSG00000130707.17	Abdomen-abnormality	ASS1
ENSG00000107290.13	Abdomen-abnormality	SETX
ENSG00000165699.13	Abdomen-abnormality	TSC1
ENSG00000170835.14	Abdomen-abnormality	CEL
ENSG00000160323.18	Abdomen-abnormality	ADAMTS13
ENSG00000197859.9	Abdomen-abnormality	ADAMTSL2
ENSG00000130635.15	Abdomen-abnormality	COL5A1
ENSG00000165688.11	Abdomen-abnormality	PMPCA
ENSG00000148400.9	Abdomen-abnormality	NOTCH1
ENSG00000198569.9	Abdomen-abnormality	SLC34A3
ENSG00000181090.19	Abdomen-abnormality	EHMT1
ENSG00000134460.15	Abdomen-abnormality	IL2RA
ENSG00000107485.15	Abdomen-abnormality	GATA3
ENSG00000107537.13	Abdomen-abnormality	PHYH
ENSG00000152457.17	Abdomen-abnormality	DCLRE1C
ENSG00000077943.7	Abdomen-abnormality	ITGA8
ENSG00000165996.13	Abdomen-abnormality	HACD1
